reviewerID,asin,reviewText,reviewTextNormalized_cleantext,word_count
AGODHOIFUGSLS,B00004ZBSH,"These glasses are ok, but not as thick as the ones I was replacing.  They are supposed to be restaurant quality but are not as good quality, they're lighter weight, but they do match my older ones.","these glasses are ok, but not as thick as the ones i was replacing. they are supposed to be restaurant quality but are not as good quality, they're lighter weight, but they do match my older ones.",37.0
AYTV6YH695FPR,B0028RXZ1E,I have always used a large beer can to cook my chickens but this product is great and cleans up easily.,i have always used a large beer can to cook my chickens but this product is great and cleans up easily.,21.0
ASB4JYZPH0BQA,B01ET84YZK,Absolutely love this mattress. It comes in a very small and compact box. But expands to a regular size. I am amazed. And I am sleeping like a baby. I will buy one for my daughter also.,absolutely love this mattress. it comes in a very small and compact box. but expands to a regular size. i am amazed. and i am sleeping like a baby. i will buy one for my daughter also.,37.0
AH775FGKN4VH0,B000050HD8,Just what I needed to keep my carpets clean.  This product fits the description on the site.  Everything fits perfectly.,just what i needed to keep my carpets clean. this product fits the description on the site. everything fits perfectly.,20.0
A1QB9AUZXM6ORP,B006JIGM5O,I was so excited to try these pizza stones because we make our own pizza all the time. Try them a couple times inside of pizza was soggy the bottom was burned and stuck. No matter what I tried the bottom stuck. They are going in the trash.,i was so excited to try these pizza stones because we make our own pizza all the time. try them a couple times inside of pizza was soggy the bottom was burned and stuck. no matter what i tried the bottom stuck. they are going in the trash.,48.0
A2E43JUCG5WGVZ,B01E6HQJMA,"I got these in white and they are so cute.  I imagine these would work perfectly for a nighttime wedding.  I put them up on the inside roof of my pagoda to add to the lights I have around and along the poles.  They are not super bright so don't expect to have them be a major light source but they give off a nice ambient glow which is what I was looking for.  They are super easy to set up - just unwrap, hang and put your solar panel in the ground.  My pagoda is on my 2nd story deck so I just put my solar panel in a pot of flowers and I'm good to go.  Solar lights really are the way to go when looking for year round ambient lighting. When I put these up they only got about 3 hours of sunlight to charge but they were glowing strong well into the night.  These even have a couple modes for blinking with several speeds, twinkling and steady on.  I love them!","i got these in white and they are so cute. i imagine these would work perfectly for a nighttime wedding. i put them up on the inside roof of my pagoda to add to the lights i have around and along the poles. they are not super bright so don't expect to have them be a major light source but they give off a nice ambient glow which is what i was looking for. they are super easy to set up - just unwrap, hang and put your solar panel in the ground. my pagoda is on my 2nd story deck so i just put my solar panel in a pot of flowers and i'm good to go. solar lights really are the way to go when looking for year round ambient lighting. when i put these up they only got about 3 hours of sunlight to charge but they were glowing strong well into the night. these even have a couple modes for blinking with several speeds, twinkling and steady on. i love them!",175.0
A2N3TE6ML4B9QQ,B000T3KY5Y,"Cannot express how disappointed I am in this slicer. I tried to slice up a pork belly for bacon after smoking it and chilling it, and it was more of a meat shredder than a meat slicer. After I took the blade off to clean the machine, I realized that the blade was dull. I am not impressed with the size of the meat sled either. With a 9"" blade, I would expect the carriage to be large enough to hold the width of a pork belly. Unfortunately this was not the case. If what you are slicing is wider than about 7 inches, you will have to lift up one side of the meat to finagle it through the blade. Definitely do your research on slicers!!","cannot express how disappointed i am in this slicer. i tried to slice up a pork belly for bacon after smoking it and chilling it, and it was more of a meat shredder than a meat slicer. after i took the blade off to clean the machine, i realized that the blade was dull. i am not impressed with the size of the meat sled either. with a 9"" blade, i would expect the carriage to be large enough to hold the width of a pork belly. unfortunately this was not the case. if what you are slicing is wider than about 7 inches, you will have to lift up one side of the meat to finagle it through the blade. definitely do your research on slicers!!",127.0
A13J4WNWBG26YB,B017UPYLPM,This is the best salt and pepper grinder! Super easy to load with new peppercorns or salt. You can adjust the fineness of the grind as well which is awesome. Super inexpensive and I would highly recommend!,this is the best salt and pepper grinder! super easy to load with new peppercorns or salt. you can adjust the fineness of the grind as well which is awesome. super inexpensive and i would highly recommend!,37.0
A1GB6SGHNZPJQW,B00GH19UW0,"My mom has terminal cancer and COPD, so clean air is imperative. Unfortunately, she lives in a house built in the late 1800s, so there are air quality issues built in. This air purifier seems to have really helped clean the air in the main areas if her breathing tests are any indication.","my mom has terminal cancer and copd, so clean air is imperative. unfortunately, she lives in a house built in the late 1800s, so there are air quality issues built in. this air purifier seems to have really helped clean the air in the main areas if her breathing tests are any indication.",53.0
A2KGW8DRQMFDVW,B009YIQP9O,"I needed a small end table in a very tight space and this fit the bill perfectly. I received it this afternoon and assembled it in exactly 17 minutes. The assembly will go a lot easier if you construct it upside down. Put a towel down underneath of it to keep the top from being scratched. This is far from being Gallery Quality Furniture but it is functional, well stained and as well constructed as you are able to do yourself.","i needed a small end table in a very tight space and this fit the bill perfectly. i received it this afternoon and assembled it in exactly 17 minutes. the assembly will go a lot easier if you construct it upside down. put a towel down underneath of it to keep the top from being scratched. this is far from being gallery quality furniture but it is functional, well stained and as well constructed as you are able to do yourself.",81.0
